sample_id,family_id,image_id,source_caption,edited_caption,label,edit_family,edit_rule,audit_status,file_path,objects,object_counts,split
val-104589::contradiction,val-104589,504589,Two people are playing in sand with a frisbee.,One person is playing in sand with a frisbee,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000504589.jpg,"['frisbee', 'person']","{'person': 2, 'frisbee': 1}",test
val-104589::entailment,val-104589,504589,Two people are playing in sand with a frisbee.,Two individuals are playing in sand with a frisbee,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000504589.jpg,"['frisbee', 'person']","{'person': 2, 'frisbee': 1}",test
val-118857::contradiction,val-118857,91406,people standing near a table with open pizza boxes,people sleeping near a table with open pizza boxes,contradiction,contradiction_action,action:standing->sleeping,pending,/content/project/artifacts/datasets/coco2017/val2017/000000091406.jpg,"['book', 'chair', 'dining table', 'knife', 'person', 'pizza', 'tv']","{'tv': 1, 'chair': 5, 'dining table': 6, 'person': 4, 'pizza': 6, 'book': 14, 'knife': 1}",test
val-118857::entailment,val-118857,91406,people standing near a table with open pizza boxes,individuals standing near a table with open pizza boxes,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000091406.jpg,"['book', 'chair', 'dining table', 'knife', 'person', 'pizza', 'tv']","{'tv': 1, 'chair': 5, 'dining table': 6, 'person': 4, 'pizza': 6, 'book': 14, 'knife': 1}",test
val-128837::contradiction,val-128837,380913,a close up of people sitting on a public transit train,a close up of people running on a public transit train,contradiction,contradiction_action,action:sitting->running,pending,/content/project/artifacts/datasets/coco2017/val2017/000000380913.jpg,"['cell phone', 'handbag', 'person']","{'cell phone': 5, 'person': 6, 'handbag': 3}",test
val-128837::entailment,val-128837,380913,a close up of people sitting on a public transit train,a close up of individuals sitting on a public transit train,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000380913.jpg,"['cell phone', 'handbag', 'person']","{'cell phone': 5, 'person': 6, 'handbag': 3}",test
val-128859::contradiction,val-128859,99114,People walking across a pedestrian cross walk,People sitting across a pedestrian cross walk,contradiction,contradiction_action,action:walking->sitting,pending,/content/project/artifacts/datasets/coco2017/val2017/000000099114.jpg,"['bicycle', 'handbag', 'person', 'traffic light']","{'bicycle': 3, 'traffic light': 2, 'handbag': 2, 'person': 14}",test
val-128859::entailment,val-128859,99114,People walking across a pedestrian cross walk,Individuals walking across a pedestrian cross walk,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000099114.jpg,"['bicycle', 'handbag', 'person', 'traffic light']","{'bicycle': 3, 'traffic light': 2, 'handbag': 2, 'person': 14}",test
val-129699::contradiction,val-129699,527616,A picture of someone in the TV on the wall.,A picture of someone in the LAPTOP on the wall,contradiction,contradiction_object,object:tv->laptop,pending,/content/project/artifacts/datasets/coco2017/val2017/000000527616.jpg,"['couch', 'person', 'tie', 'tv']","{'tv': 1, 'person': 1, 'tie': 1, 'couch': 1}",test
val-129699::entailment,val-129699,527616,A picture of someone in the TV on the wall.,A picture of someone in the TELEVISION on the wall,entailment,entailment_synonym,synonym:tv->television,pending,/content/project/artifacts/datasets/coco2017/val2017/000000527616.jpg,"['couch', 'person', 'tie', 'tv']","{'tv': 1, 'person': 1, 'tie': 1, 'couch': 1}",test
