sample_id,family_id,image_id,source_caption,edited_caption,label,edit_family,edit_rule,audit_status,file_path,objects,object_counts,split
val-101382::contradiction,val-101382,214192,Two competitors skidding during a dirt bike competition,One competitor skidding during a dirt bike competition,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000214192.jpg,"['motorcycle', 'person']","{'motorcycle': 2, 'person': 2}",test
val-101382::entailment,val-101382,214192,Two competitors skidding during a dirt bike competition,Two competitors skidding during a dirt bicycle competition,entailment,entailment_synonym,synonym:bike->bicycle,pending,/content/project/artifacts/datasets/coco2017/val2017/000000214192.jpg,"['motorcycle', 'person']","{'motorcycle': 2, 'person': 2}",test
val-104589::contradiction,val-104589,504589,Two people are playing in sand with a frisbee.,One person is playing in sand with a frisbee,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000504589.jpg,"['frisbee', 'person']","{'person': 2, 'frisbee': 1}",test
val-105781::contradiction,val-105781,374369,a person standing snow wearing a snow suit and skis,a person sleeping snow wearing a snow suit and skis,contradiction,contradiction_action,action:standing->sleeping,pending,/content/project/artifacts/datasets/coco2017/val2017/000000374369.jpg,"['person', 'skis']","{'person': 1, 'skis': 1}",test
val-107234::contradiction,val-107234,425221,A person at an airport terminal with planed in view outside of the windows.,Two people at an airport terminal with planed in view outside of the windows,contradiction,contradiction_count,count:article->person,pending,/content/project/artifacts/datasets/coco2017/val2017/000000425221.jpg,"['airplane', 'backpack', 'bench', 'chair', 'person', 'suitcase']","{'airplane': 2, 'person': 2, 'bench': 5, 'backpack': 1, 'chair': 12, 'suitcase': 1}",test
val-113850::contradiction,val-113850,241668,There are two people enjoying a wedding reception,There are one person enjoying a wedding reception,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000241668.jpg,"['cake', 'chair', 'person', 'tie']","{'tie': 1, 'person': 2, 'cake': 1, 'chair': 1}",test
val-113850::entailment,val-113850,241668,There are two people enjoying a wedding reception,There are two individuals enjoying a wedding reception,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000241668.jpg,"['cake', 'chair', 'person', 'tie']","{'tie': 1, 'person': 2, 'cake': 1, 'chair': 1}",test
val-116653::contradiction,val-116653,182155,A picture of two people playing a video game.,A picture of one person playing a video game,contradiction,contradiction_count,count:two->one,pending,/content/project/artifacts/datasets/coco2017/val2017/000000182155.jpg,"['couch', 'person', 'remote']","{'couch': 1, 'person': 2, 'remote': 4}",test
val-116653::entailment,val-116653,182155,A picture of two people playing a video game.,A picture of two individuals playing a video game,entailment,entailment_synonym,synonym:people->individuals,pending,/content/project/artifacts/datasets/coco2017/val2017/000000182155.jpg,"['couch', 'person', 'remote']","{'couch': 1, 'person': 2, 'remote': 4}",test
val-118115::contradiction,val-118115,47571,"A pair of people ride a small, horse drawn buggy near a large puddle of water.","A pair of people ride a large, horse drawn buggy near a large puddle of water",contradiction,contradiction_attribute,attribute:small->large,pending,/content/project/artifacts/datasets/coco2017/val2017/000000047571.jpg,"['horse', 'person']","{'horse': 1, 'person': 2}",test
val-118857::contradiction,val-118857,91406,people standing near a table with open pizza boxes,people sleeping near a table with open pizza boxes,contradiction,contradiction_action,action:standing->sleeping,pending,/content/project/artifacts/datasets/coco2017/val2017/000000091406.jpg,"['book', 'chair', 'dining table', 'knife', 'person', 'pizza', 'tv']","{'tv': 1, 'chair': 5, 'dining table': 6, 'person': 4, 'pizza': 6, 'book': 14, 'knife': 1}",test
